cell_id	plate_id	well_id	plate_col	plate_row	sort_gate	sort_mode	sort_count	dna_library_id	dna_read_pairs	dna_unpaired_reads	dna_unmapped	dna_dups_pct	rna_library_id	ercc_frac	rna_counts	rna_features	source	timepoint
VZA01803.D19	VZA01803	D19	19	D	G1	Single Cell	1	VZA01803D_D19	198674	8909	15461	0.06726300000000002	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D20	VZA01803	D20	20	D	G1	Single Cell	1	VZA01803D_D20	356436	18703	28417	0.06667400000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D21	VZA01803	D21	21	D	non-G1	Single Cell	1	VZA01803D_D21	24259	5975	115957	0.130677	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D22	VZA01803	D22	22	D	non-G1	Single Cell	1	VZA01803D_D22	440937	26666	42044	0.07755100000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D23	VZA01803	D23	23	D	non-G1	Single Cell	1	VZA01803D_D23	468452	26040	39048	0.062944	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.D24	VZA01803	D24	24	D	non-G1	Single Cell	1	VZA01803D_D24	597636	30072	46088	0.046375	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E01	VZA01803	E01	1	E	G1	Single Cell	1	VZA01803D_E01	192336	9815	14369	0.042453000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E02	VZA01803	E02	2	E	G1	Single Cell	1	VZA01803D_E02	93288	4568	6824	0.040293999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E03	VZA01803	E03	3	E	G1	Single Cell	1	VZA01803D_E03	134847	3252	5580	0.019161	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E04	VZA01803	E04	4	E	G1	Single Cell	1	VZA01803D_E04	219100	6254	9570	0.031424999999999995	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E05	VZA01803	E05	5	E	G1	Single Cell	1	VZA01803D_E05	103337	4263	6471	0.027165	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E06	VZA01803	E06	6	E	G1	Single Cell	1	VZA01803D_E06	250221	11871	17219	0.04161300000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E07	VZA01803	E07	7	E	G1	Single Cell	1	VZA01803D_E07	209867	9263	13863	0.036225999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E08	VZA01803	E08	8	E	G1	Single Cell	1	VZA01803D_E08	187955	8351	12421	0.036643999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E09	VZA01803	E09	9	E	G1	Single Cell	1	VZA01803D_E09	156974	8191	11491	0.037776	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E10	VZA01803	E10	10	E	G1	Single Cell	1	VZA01803D_E10	48	446	542	0.773063	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E11	VZA01803	E11	11	E	G1	Single Cell	1	VZA01803D_E11	92655	4819	6921	0.034797	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E12	VZA01803	E12	12	E	G1	Single Cell	1	VZA01803D_E12	137745	8818	12184	0.038771	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E13	VZA01803	E13	13	E	G1	Single Cell	1	VZA01803D_E13	44	545	649	0.794629	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E14	VZA01803	E14	14	E	G1	Single Cell	1	VZA01803D_E14	6479	400	686	0.030842999999999995	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E15	VZA01803	E15	15	E	G1	Single Cell	1	VZA01803D_E15	71	585	707	0.7427790000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E16	VZA01803	E16	16	E	G1	Single Cell	1	VZA01803D_E16	32880	990	1772	0.023401	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E17	VZA01803	E17	17	E	G1	Single Cell	1	VZA01803D_E17	228269	8164	12844	0.035931	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E18	VZA01803	E18	18	E	G1	Single Cell	1	VZA01803D_E18	195253	7407	11241	0.033434	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E19	VZA01803	E19	19	E	G1	Single Cell	1	VZA01803D_E19	18114	1868	2788	0.062001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E20	VZA01803	E20	20	E	G1	Single Cell	1	VZA01803D_E20	177040	6519	9695	0.028519	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E21	VZA01803	E21	21	E	non-G1	Single Cell	1	VZA01803D_E21	291789	10825	16615	0.027983	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E22	VZA01803	E22	22	E	non-G1	Single Cell	1	VZA01803D_E22	271207	9618	14248	0.023119999999999998	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E23	VZA01803	E23	23	E	non-G1	Single Cell	1	VZA01803D_E23	371996	15558	23520	0.037693000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.E24	VZA01803	E24	24	E	non-G1	Single Cell	1	VZA01803D_E24	200946	8951	13247	0.036043	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F01	VZA01803	F01	1	F	G1	Single Cell	1	VZA01803D_F01	692040	25213	40569	0.06846300000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F02	VZA01803	F02	2	F	G1	Single Cell	1	VZA01803D_F02	341887	17021	25377	0.04756	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F03	VZA01803	F03	3	F	G1	Single Cell	1	VZA01803D_F03	206765	9856	14914	0.03879	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F04	VZA01803	F04	4	F	G1	Single Cell	1	VZA01803D_F04	454455	18595	27871	0.048304	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F05	VZA01803	F05	5	F	G1	Single Cell	1	VZA01803D_F05	46229	3735	5009	0.045439999999999994	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F06	VZA01803	F06	6	F	G1	Single Cell	1	VZA01803D_F06	243897	14808	21194	0.045629	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F07	VZA01803	F07	7	F	G1	Single Cell	1	VZA01803D_F07	297111	16748	24458	0.048629000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F08	VZA01803	F08	8	F	G1	Single Cell	1	VZA01803D_F08	322103	18062	26398	0.049483	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F09	VZA01803	F09	9	F	G1	Single Cell	1	VZA01803D_F09	139648	11666	15708	0.055004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F10	VZA01803	F10	10	F	G1	Single Cell	1	VZA01803D_F10	341386	20598	28908	0.055712000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F11	VZA01803	F11	11	F	G1	Single Cell	1	VZA01803D_F11	77201	7748	10158	0.05638	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.F12	VZA01803	F12	12	F	G1	Single Cell	1	VZA01803D_F12	124888	11257	15147	0.05352200000000001	NA	NA	NA	NA	X-ray 3Gy	96h
